Customer,Purchases,Sales,Months
6-1000099,9,2264.48,23
6-1000552,9,2993.9,18
6-1000765,9,1874.04,17
4-1000905,9,3347.6,15
1-1008275,9,5037.6,14
6-1000364,9,1438.02,11
6-1000856,9,3322.44,9
1-1010406,9,6943.2,6
5-1000103,9,402.6,6
5-1000831,9,2313.6,6
1007952,9,4066.4,0
1-1000751,9,4208,0
1-1000760,9,8807,0
1001479,8,9397.6,177
1012542,8,3488,104
240009131,8,7729.8,84
1014452,8,4500,82
1014236,8,6430,74
1-1000910,8,1851.6,74
240009218,8,8375.6,68
2-1000534,8,3738.4,60
1-1003678,8,5151.6,55
2-1000929,8,8992.6,54
1-1004618,8,3146.44,52
1-1005997,8,3139,47
1-1000390,8,6039.6,44
1-1001472,8,13653.4,38
1-1007312,8,5740.8,38
1-1006935,8,6981.6,37
1-1003027,8,6577.2,36
1-1003461,8,2385.2,35
1-1005853,8,3942.52,35
1-1007192,8,10050.8,35
1016005,8,907,32
1-1007962,8,10815.8,32
6-1000365,8,2611.3,32
2-1002219,8,6836,26
4-1000690,8,4453.84,26
4-1001006,8,2487,23
1-1004955,8,3141,19
1-1008893,8,3990,18
1-1006746,8,6933,17
6-1000759,8,1736.04,16
1-1009719,8,1828.56,15
6-1000990,8,3211.92,15
4-1001395,8,1695.1,13
1-1002211,8,4007,12
1-1009361,8,1476,12
7-1000100,8,3169.44,11
4-1001206,8,1685.4,7
4-1001749,8,2528.8,6
2-1004021,8,1844,4
6-1001773,8,282.41,2
1-1002184,8,2654,1
1001993,7,2651.2,166
240003954,7,3223.12,139
1010003,7,2675.2,131
1010120,7,2639.8,112
1013158,7,7752,105
1017189,7,2992.8,68
1-1001961,7,2649.16,66
1-1002715,7,2849.3,59
1-1002642,7,3339,54
2-1002341,7,2675.68,54
1-1001730,7,5365.52,53
1-1003839,7,1655.36,53
1-1003348,7,2692,51
1-1006138,7,3339,48
1-1005957,7,9824.8,47
1-1004312,7,4911.2,46
1-1005274,7,5456,46
1-1005721,7,1845.58,44
1-1002889,7,4949.6,39
1-1002635,7,3561,37
1-1004655,7,7193.2,37
2-1002634,7,2605.1,37
1-1007037,7,9145.6,36
1-1003645,7,3916.8,33
1-1007629,7,4188,29
1-1008577,7,2498.8,29
2-1001667,7,4714.4,29
1-1002306,7,4715,26
2-1003087,7,3241.04,26
1-1008085,7,2767.5,22
240009307,7,7862,20
4-1000721,7,2064.8,19
5-1000528,7,2975.2,19
1-1009420,7,4549.6,18
2-1003556,7,2669.8,17
4-1001085,7,2122.4,17
1-1001060,7,4994.1,15
1-1002279,7,3174,15
1-1003856,7,2443.6,15
1-1007533,7,3212,14
1-1000184,7,1492,12
4-1001211,7,3163.2,12
1-1005276,7,5986,11
5-1001499,7,5978.64,11
1-1002597,7,4350,9
6-1000093,7,1221.6,9
3-1000714,7,1559.36,8
2-1001156,7,4605.4,6
4-1001585,7,2241.58,4
5-1001787,7,4488.4,4
7-1000522,7,3429.92,4
1-1000630,7,5524.35,2
3-1001862,7,2053.8,2
2-1000462,7,3071,1
6-1001057,7,645.08,1
1007648,6,2509.68,148
1007647,6,2145,117
1005778,6,1589.8,113
240006824,6,1259.33,109
1012945,6,3189.2,97
1016606,6,2718.2,88
1014579,6,7186.2,83
1016439,6,2483.4,78
1016960,6,2213.6,74
1017252,6,1595.2,72
1016950,6,2340.8,70
1-1000369,6,2129.8,68
1-1000180,6,2178.8,61
1-1002424,6,1810.6,60
1-1000515,6,3781.6,56
2-1000233,6,3709,55
1-1003164,6,1651.61,54
2-1002493,6,2168.2,54
1-1000583,6,8000,50
1-1004831,6,3040.8,50
1-1005646,6,1224.48,49
1-1000480,6,3645.6,48
1-1001312,6,9768.6,47
1-1001470,6,4895.6,44
1-1002580,6,2562.4,42
1-1002049,6,2453,39
1-1006559,6,5984,39
1-1007524,6,2964.8,38
1-1007578,6,7931.84,38
1-1003544,6,1967.8,37
1-1001557,6,5312.4,36
2-1000744,6,3976,36
2-1002867,6,2292,36
1-1006192,6,2514,35
1-1007309,6,2153.8,34
1-1007815,6,1727.6,31
1-1000402,6,5906.1,30
1-1008521,6,2104.88,28
4-1000680,6,2548.16,27
1-1000366,6,2114,26
1-1001289,6,4296,24
1-1006373,6,6365,24
1-1007621,6,1947,23
2-1003160,6,3879.6,22
3-1001164,6,2367.2,22
1-1001257,6,3488,21
4-1000223,6,1596.3,21
1-1009358,6,4148,20
2-1001011,6,4060,19
1-1008242,6,3306.72,18
1-1001540,6,1604,17
1-1006852,6,3940.6,17
1-1008292,6,3492.8,17
4-1000346,6,2332.4,17
4-1001109,6,1318.2,17
6-1000931,6,1847.34,17
3-1000932,6,1116.8,16
4-1001245,6,5206,15
6-1001141,6,1023.24,15
2-1000729,6,3030.8,14
1-1009173,6,821.6,13
4-1001009,6,2641.4,13
6-1000471,6,1122.36,12
6-1000539,6,2792.66,12
240009185,6,17493,11
4-1001717,6,1560.4,11
2-1002695,6,1950.6,9
1-1002773,6,19584,8
3-1000889,6,1488,8
4-1001475,6,2093.6,8
3-1000675,6,1047.64,6
1-1002047,6,3116,5
1-1001450,6,2270,4
1-1004716,6,3597.6,4
4-1002304,6,2630.8,4
1-1002547,6,3078,3
1-1009126,6,5581.2,2
1-1010145,6,1228.16,2
5-1000610,6,597.6,2
2-1003826,6,3376.4,1
1001113,6,1438,0
1-1000769,6,2816,0
1-1002903,6,6195,0
1-1003237,6,5668,0
1-1010917,6,2781.2,0
4-1001951,6,2632.04,0
1004981,5,2050,159
1003398,5,1800.4,157
1004965,5,2602.8,142
240003582,5,7234,137
1009160,5,1974.4,136
1009990,5,86.4,136
1009698,5,1820,132
1008628,5,2076.2,124
1009660,5,610.4,124
1010737,5,1397.28,120
240004670,5,2248,118
1012441,5,2684.8,116
1015187,5,2258,82
1017138,5,2038.4,79
1016969,5,1597.6,78
1-1001653,5,1374.8,71
1015383,5,2126.4,69
2-1000709,5,1831.6,69
1016446,5,1698,66
1-1002034,5,1777.6,66
1-1000512,5,2477.6,65
1-1001211,5,1461.8,64
1-1002646,5,1703,62
240008786,5,13722.4,61
1-1002910,5,2504,61
1-1000616,5,3638.4,60
1-1003945,5,3383.8,59
1016338,5,2415,58
240007030,5,2955.6,55
1-1001237,5,3394,53
1-1002714,5,1982.8,52
1-1004392,5,5105.9,52
1-1000752,5,1662,49
1-1000795,5,2026.8,48
1017196,5,1590,47
1-1003717,5,2358.64,47
2-1000419,5,3250.2,47
1-1006066,5,1814.2,46
1-1004172,5,1181.8,42
1-1005947,5,2100,40
1-1006667,5,1317,40
1-1005256,5,1469.6,39
1-1003471,5,2380,37
1-1003647,5,6252.2,37
1-1006029,5,3106.8,37
1016217,5,1029.6,36
2-1001879,5,5319.9,36
2-1003137,5,3989.56,36
1-1005830,5,2136.8,35
1-1005365,5,2613.28,34
2-1002948,5,1406.6,34
1-1005750,5,1479.6,33
1-1003859,5,2725.2,31
1-1004960,5,1656.2,31
1-1008276,5,1158.8,30
2-1002614,5,1694.4,30
1-1006195,5,1133.79,29
1-1006734,5,2503.86,29
4-1000100,5,2211.6,29
1-1003062,5,2230,27
1-1004077,5,1118,27
1-1008518,5,1659.6,27
3-1000853,5,906.45,26
4-1000022,5,1681.68,24
4-1000044,5,1439.75,24
4-1000420,5,2638,24
1-1006727,5,1894.8,22
4-1001012,5,1816.8,22
6-1000449,5,918.84,22
4-1000326,5,1461,21
6-1000475,5,498.59,21
1-1008053,5,1107.9,20
2-1000342,5,2655,20
2-1003102,5,772,20
4-1000812,5,3854.6,20
6-1000607,5,603.91,20
1-1009435,5,879.8,19
2-1003362,5,1785.2,19
4-1001106,5,1464.4,18
6-1000619,5,503.4,18
2-1001177,5,1720,17
4-1001440,5,2403.2,16
6-1000799,5,1049.06,16
1-1002089,5,6722.8,15
2-1001504,5,3191,15
3-1000037,5,2255.4,15
3-1000554,5,1714.8,15
1-1008267,5,2132,14
4-1001327,5,1113.3,14
5-1000994,5,3252,14
6-1001368,5,987.22,14
1-1001849,5,2634,13
1-1005836,5,2573,13
1-1009611,5,1954,13
4-1000998,5,1632.8,13
4-1001382,5,1673.32,13
6-1000026,5,974.68,13
6-1000857,5,981.54,13
1-1001411,5,1510,12
1-1007189,5,1879,12
1-1009944,5,1765.6,12
2-1001041,5,2234,12
5-1000557,5,1325.24,12
1-1004193,5,3832,11
4-1000364,5,4860,11
240009512,5,3296,10
1-1001165,5,1389.8,10
4-1000532,5,2849.6,10
6-1000813,5,2034.16,10
1-1001328,5,3175.6,9
1-1008933,5,1829,9
4-1001137,5,1124.2,9
4-1001227,5,1166.16,9
1-1002524,5,4532.8,7
3-1001508,5,2200,7
4-1001652,5,947.6,7
6-1001170,5,1588.08,7
1-1003863,5,4727.8,6
1-1010037,5,3380.59,6
2-1003410,5,2802.9,6
6-1001590,5,1153.73,6
1-1005110,5,1520,5
1-1008420,5,1988.8,5
2-1003480,5,802.2,5
2-1003945,5,791.07,5
5-1001426,5,2969.56,5
5-1001831,5,668.31,5
6-1001582,5,1086.76,5
1-1000596,5,1787,4
7-1000489,5,221.93,4
1-1000255,5,4160,3
1-1003427,5,2307.2,3
1-1003492,5,2140,3
1-1009140,5,1029.8,3
1-1011144,5,2650.8,3
4-1000419,5,680.77,3
4-1000457,5,1661.2,3
4-1001494,5,1373.2,3
4-1002209,5,344.8,3
5-1000839,5,1316.4,3
1-1010321,5,2074.32,2
1-1011025,5,1204,2
3-1001819,5,193.56,2
4-1001346,5,3744,2
4-1002022,5,1930.6,2
6-1001866,5,1058.06,2
1-1000550,5,1808,1
1-1000654,5,3068,1
1-1007528,5,2768.8,1
1-1007543,5,1638.4,1
1-1009135,5,4602.4,1
1-1010638,5,1008.8,1
1-1010647,5,1778.5,1
2-1000852,5,1752,1
2-1002250,5,1916,1
2-1002744,5,4926,1
4-1001730,5,779.3,1
4-1002322,5,1302.4,1
1001015,5,2160,0
1-1000761,5,3342,0
1-1007933,5,3303,0
1-1008035,5,1486,0
3-1001895,5,2622.4,0
7-1000277,5,760,0
1000930,4,1308.4,183
1000037,4,1032,170
1005214,4,1249.4,160
1000912,4,802,157
1006827,4,1036,151
1009862,4,2277.6,139
1007184,4,1874.72,138
240000315,4,2325.2,137
1007008,4,2002.2,136
1008903,4,2215.4,131
1011250,4,1516.8,127
1006528,4,1357.6,126
1011087,4,2224.8,126
1010091,4,1720,124
1012421,4,1818.8,117
1008890,4,780,115
240005866,4,818.2,114
1007988,4,1122.8,112
1012463,4,902,112
1011613,4,2376.4,90
240006504,4,1780.5,86
1010080,4,2187.6,85
1014683,4,1928,81
240008541,4,1160.4,81
1015430,4,1659.6,80
1009861,4,2354.4,78
1012299,4,1799.6,78
1016562,4,2081.6,78
1013639,4,1056,77
240009638,4,2309.2,77
1016918,4,1354.4,76
1011255,4,1412.8,74
1010100,4,1202,71
1014696,4,3057,71
1010053,4,1812,70
1017093,4,1270.27,70
1016935,4,1469.8,69
1-1001503,4,1408,69
1012179,4,4037,66
2-1000515,4,3570.2,66
1-1001449,4,408,65
2-1001318,4,1956.25,64
1-1001167,4,822.4,63
1-1000931,4,1276,62
1-1001937,4,1224.64,62
1-1001648,4,824.4,60
1-1001718,4,1699.52,57
1-1002577,4,2023.2,57
1016184,4,2248,56
1-1000082,4,1132,56
1-1004629,4,1092.8,54
1016929,4,1655.6,53
1-1004910,4,1413.4,53
240009157,4,1546.4,51
1017328,4,1868.6,50
1015530,4,2328,48
1016162,4,2180,48
1-1002321,4,834,48
1-1003887,4,1712,48
1-1004836,4,2991.4,48
1-1000375,4,1426.8,47
1-1004220,4,1406.4,47
1-1004369,4,1332.4,47
1-1005619,4,1568.46,47
1-1005448,4,2748.8,46
1-1005903,4,2658.08,46
1-1003654,4,1412,45
1013381,4,1794,44
1-1005193,4,6844.4,44
1-1000582,4,3080,43
1-1001803,4,1067.7,43
1015774,4,2193.8,42
1-1002231,4,791.6,42
1-1004590,4,2649.52,42
2-1001725,4,2328,42
2-1000194,4,1267,41
1-1002654,4,2496.4,40
240008694,4,2866,38
1-1004390,4,1652.8,38
2-1002944,4,4515.4,38
1-1004446,4,1637.6,37
1-1004931,4,1898,37
2-1002410,4,1495.76,37
1-1001665,4,1475.8,36
1-1004936,4,1420.8,36
1-1007728,4,2235.2,36
2-1001064,4,2736,35
2-1001120,4,11142.7,35
3-1000125,4,1672,35
1-1003587,4,1920.8,33
1-1006447,4,2676.16,33
1-1006981,4,1666.4,33
2-1003147,4,3606,33
3-1000296,4,1904.8,33
1-1003331,4,2097.2,32
2-1000332,4,1682.8,32
4-1000029,4,2436.76,32
1-1000859,4,2394.8,31
1-1001602,4,2171.6,31
1-1006826,4,1171.6,31
1-1008159,4,2766,31
2-1000877,4,2418,31
3-1000401,4,2140,31
4-1000061,4,1930,31
240009452,4,2152.6,30
1-1003940,4,1475.6,30
1-1007795,4,1988.8,30
1-1004525,4,1740.8,29
1-1007267,4,1498.4,29
4-1000391,4,1933.6,29
6-1000027,4,1551.3,29
1-1000127,4,1973,28
1-1004128,4,2957,28
1-1008277,4,2504.8,28
1-1008528,4,1114.16,28
4-1000400,4,1640.8,28
1-1008513,4,1421.6,27
4-1000360,4,2263.2,27
1-1001390,4,1452,26
4-1000696,4,1312.8,26
1-1006596,4,2534,25
1-1007652,4,1409.76,25
2-1002683,4,5127.2,25
2-1003484,4,1230.8,25
4-1000800,4,1943.6,25
5-1000008,4,1256.84,25
1-1001744,4,1296.8,24
1-1002372,4,1692,24
1-1006112,4,1803.6,24
1-1007234,4,5202,24
1-1007427,4,1780,24
2-1002109,4,1917,24
6-1000041,4,561.72,24
1-1006392,4,944,23
1-1006984,4,2210.4,23
1-1008415,4,790,23
6-1000031,4,1091.04,23
6-1000400,4,1193.52,23
2-1003285,4,1318.8,22
3-1000634,4,1402,22
6-1000747,4,928.4,22
1-1003524,4,3242.8,21
1-1004869,4,2479,21
1-1008457,4,2648.4,21
4-1000286,4,1489.6,21
5-1000006,4,1328.36,21
6-1000466,4,914.76,21
1-1005778,4,1970,20
1-1007203,4,2822,20
1-1008116,4,5368.8,20
6-1000322,4,1645.68,20
1-1006512,4,5383.6,19
1-1008981,4,1104,19
4-1000178,4,2928.8,19
4-1000411,4,2463.2,19
4-1000615,4,1766.4,19
6-1000094,4,1683.24,19
6-1000821,4,840.38,19
4-1000897,4,1204.1,18
6-1000940,4,528.66,18
240008895,4,2332,17
1-1003485,4,2469,17
1-1006148,4,2524,17
1-1007833,4,1587.6,17
1-1008694,4,1767.6,17
1-1009640,4,2512.8,17
1-1009769,4,3542,17
3-1000991,4,964.4,17
4-1000161,4,1413.6,17
4-1001075,4,1244.24,17
1017287,4,1692,16
1-1006248,4,2127.6,16
1-1007638,4,15945.6,16
1-1008746,4,555.6,16
2-1003509,4,1237.92,16
4-1000283,4,2359.6,16
1-1000391,4,2062,15
1-1001189,4,1604,15
1-1002516,4,527.6,15
4-1001203,4,896,15
3-1000586,4,2038.17,14
4-1000790,4,927.4,14
6-1001034,4,604.86,14
1-1001142,4,1749.6,13
1-1009459,4,1110.6,13
3-1000983,4,1485.4,13
4-1000195,4,2778.7,13
6-1000261,4,797.7,13
6-1001303,4,684.42,13
1-1007191,4,1630.4,12
1-1009922,4,2728.2,12
1-1010356,4,775.04,12
2-1002062,4,1655.2,12
2-1003536,4,2806,12
4-1000101,4,1525.6,12
4-1000131,4,957.65,12
4-1000718,4,2672.8,12
4-1001218,4,501.2,12
4-1001648,4,1979,12
6-1001459,4,873.59,12
1017416,4,1116,11
1-1005605,4,2668.8,11
1-1006189,4,2016,11
1-1009595,4,656.7,11
1-1010301,4,2190.3,11
2-1003544,4,1512,11
3-1000421,4,1365,11
4-1001153,4,930,11
4-1001557,4,1094.2,11
1-1006453,4,1722,10
1-1008561,4,6045.2,10
1-1008954,4,1280.4,10
2-1003699,4,2392.24,10
4-1000372,4,3168,10
4-1001036,4,124.01,10
4-1001994,4,669.76,10
5-1000285,4,1802.68,10
6-1000521,4,4395.6,10
6-1000769,4,1627.2,10
6-1001047,4,1302,10
7-1000176,4,1576.8,10
1-1008446,4,2368.8,9
1-1010514,4,1210,9
4-1001257,4,1049.28,9
5-1000603,4,2555.2,9
6-1001242,4,609.84,9
1-1001120,4,2092,8
1-1003656,4,1960,8
2-1004023,4,2048.8,8
3-1000581,4,1310.4,8
4-1001291,4,1140,8
4-1001539,4,1569.2,8
5-1000900,4,1118.64,8
5-1000963,4,2455,8
5-1001209,4,506.92,8
6-1001011,4,1318.08,8
1-1002046,4,2738,7
1-1002471,4,2194.8,7
1-1004173,4,2091,7
1-1006126,4,704.36,7
2-1000970,4,7100.6,7
2-1002108,4,1750,7
4-1001325,4,1137.8,7
7-1000064,4,826.8,7
1-1002015,4,1862,6
1-1002025,4,1552,6
1-1004322,4,1995.8,6
1-1006968,4,2033.04,6
1-1007106,4,1597,6
1-1008060,4,2032,6
4-1000116,4,1657,6
4-1001019,4,405.48,6
4-1001322,4,1154,6
4-1001741,4,429.76,6
4-1002162,4,602.7,6
6-1000100,4,2622,6
6-1000793,4,866.92,6
1-1000348,4,3189,5
1-1001758,4,866.8,5
1-1003665,4,1579.8,5
1-1008691,4,3801.2,5
1-1008720,4,2213.4,5
2-1003393,4,1875.6,5
3-1000740,4,1287.6,5
3-1001674,4,769.26,5
4-1002091,4,1115.8,5
5-1001698,4,193.26,5
7-1000245,4,2844.8,5
7-1000355,4,3826.2,5
1-1002048,4,3022.6,4
1-1003025,4,1682,4
1-1003251,4,1072,4
1-1004055,4,1530.4,4
1-1004584,4,1944,4
1-1005014,4,2666.88,4
1-1009508,4,2224,4
1-1010180,4,1159.2,4
1-1010182,4,751.72,4
1-1010565,4,716.8,4
3-1000036,4,148.9,4
3-1001109,4,1569.6,4
3-1001189,4,947.6,4
4-1001944,4,482.6,4
4-1002061,4,1145.6,4
4-1002387,4,1910.4,4
5-1000637,4,2380,4
6-1000193,4,596.34,4
6-1000917,4,886.8,4
6-1001432,4,591,4
6-1001724,4,310.9,4
7-1000480,4,1213.81,4
1-1002188,4,1530.8,3
1-1003510,4,1002,3
1-1004646,4,2000,3
1-1005268,4,1302,3
1-1007909,4,3285,3
1-1009626,4,1708,3
1-1010960,4,521,3
3-1000023,4,1712,3
3-1001709,4,2492,3
4-1000358,4,1339.2,3
4-1001228,4,1797.6,3
1-1001943,4,1552,2
1-1002212,4,1086.8,2
1-1002380,4,1319.99,2
1-1004568,4,2074.8,2
1-1005312,4,2975,2
1-1007653,4,1210.7,2
1-1009145,4,756,2
1-1009729,4,2598.5,2
2-1000297,4,1299,2
2-1002495,4,1610.11,2
2-1002500,4,703.27,2
3-1001538,4,864.8,2
4-1001899,4,1171.2,2
5-1000757,4,1313.2,2
5-1001556,4,2154.88,2
6-1001356,4,252,2
7-1000109,4,1499.2,2
1-1000441,4,3312,1
1-1000728,4,1492,1
1-1001339,4,788,1
1-1001865,4,1672,1
1-1002840,4,3150,1
1-1003872,4,7303.2,1
1-1004135,4,3256,1
1-1004519,4,1573.6,1
1-1005764,4,2248,1
1-1006302,4,2560,1
1-1007837,4,2120.4,1
1-1008323,4,992,1
1-1008706,4,719.8,1
1-1008731,4,1265.6,1
1-1008941,4,2493.6,1
1-1009900,4,6232.8,1
1-1009956,4,2889.6,1
1-1010014,4,2940.2,1
1-1010072,4,859.9,1
1-1010685,4,1876,1
1-1011034,4,3538,1
2-1001822,4,1134,1
2-1003895,4,2952,1
3-1000223,4,2272,1
3-1001388,4,731.8,1
3-1001877,4,1123.6,1
4-1000036,4,1633.8,1
4-1001311,4,1840,1
4-1001468,4,763.8,1
4-1002631,4,1814,1
5-1000793,4,262.38,1
5-1001100,4,2022,1
5-1001105,4,2130,1
6-1001124,4,734.1,1
6-1001241,4,2689.14,1
7-1000282,4,1996.4,1
1-1000701,4,2402,0
1-1000726,4,2240,0
1-1000798,4,1758,0
1-1001484,4,4705.2,0
1-1001970,4,2194,0
1-1002257,4,2345,0
1-1002399,4,4552.8,0
1-1002509,4,1985,0
1-1003232,4,3283,0
1-1003277,4,580,0
1-1003915,4,3005.4,0
1-1004631,4,1678.2,0
1-1005618,4,4939.2,0
1-1005625,4,2820,0
1-1005779,4,1999.52,0
1-1005953,4,3380,0
1-1007051,4,3211.2,0
1-1007365,4,4675.2,0
1-1007537,4,1960.8,0
1-1007983,4,1019,0
1-1008208,4,7110,0
1-1008566,4,1576.8,0
1-1009054,4,1890,0
1-1010962,4,1820.4,0
1-1010970,4,1519,0
2-1001186,4,2044.59,0
2-1001249,4,2340,0
2-1004459,4,3114,0
3-1000075,4,1890,0
3-1000894,4,898.8,0
3-1001627,4,1752.33,0
4-1000133,4,2236,0
4-1001744,4,1893.4,0
4-1001904,4,852.6,0
5-1000841,4,1015.2,0
5-1001213,4,756,0
5-1001352,4,2073.2,0
6-1001399,4,477.9,0
6-1001537,4,1894.72,0
1005059,3,933.6,158
1004020,3,830.8,146
1003675,3,1204,145
240002886,3,793.6,145
1006212,3,4217.6,144
240000252,3,1104,143
1007767,3,485.76,140
1003387,3,1092.8,137
1004795,3,1282,137
1006593,3,759.8,137
1006604,3,4444,137
1000626,3,1026.4,130
1008102,3,464.6,130
1007379,3,593.6,124
1011186,3,1474,120
240000120,3,861.6,120
1004617,3,1447,119
1001376,3,1224,118
240005741,3,1959.6,105
1002892,3,343,103
1010757,3,879,100
1014099,3,1844.8,99
1010046,3,1392,94
1014169,3,1664,94
240008107,3,984.6,94
1014157,3,1384,91
240007694,3,970.28,90
1012976,3,585,88
1015147,3,1484.7,88
240007884,3,825.28,87
1016081,3,1813.49,85
1016290,3,2776,85
1017047,3,822.5,83
1016231,3,930,82
1016682,3,1644,82
1009536,3,1021.4,79
1016692,3,380.8,79
1008574,3,642,75
1017099,3,768.2,75
1010428,3,1205.5,72
1017440,3,968.8,71
1-1000565,3,2712,71
1-1001131,3,1435.8,70
240009657,3,1649.36,68
1-1001824,3,1152.64,68
1-1000382,3,1380,67
1-1001554,3,893.4,67
1-1002192,3,1080.8,66
2-1001660,3,1287.6,66
240008712,3,3011.98,65
240009496,3,276.24,65
1015750,3,1442,64
1-1000322,3,1584,64
1-1000438,3,1118.4,64
1-1002787,3,3088,63
1014640,3,1512.2,62
1-1001606,3,627.6,62
1-1001830,3,951,62
1-1001158,3,1311.2,61
1-1002409,3,799.8,61
1-1003007,3,940.4,61
1-1000695,3,5182,60
1-1000805,3,1242.9,60
1011776,3,2008,59
1-1000538,3,4562,59
1-1000587,3,744.8,59
2-1000540,3,3716.8,59
1-1001224,3,3222,58
1-1001304,3,896,58
1-1001883,3,689.8,58
2-1000275,3,1569,58
2-1000991,3,1205.7,58
1014570,3,1564,57
1-1001436,3,509.8,57
1-1001566,3,1084,56
1-1002573,3,1720,56
1-1001782,3,937.6,55
1-1002462,3,748.76,54
1-1002817,3,1816,54
1-1003611,3,1672,54
1-1004787,3,1013.6,54
1-1004254,3,1044,53
1016125,3,1092.8,52
1017476,3,1337.6,52
1-1003671,3,942.6,52
1-1005355,3,1050.2,52
2-1001978,3,1752.6,52
1-1000531,3,994,51
1-1002537,3,866,51
2-1002161,3,364.2,51
1014239,3,1169,49
1-1001643,3,556,49
2-1001951,3,1405.76,49
1-1000147,3,1313.6,48
1-1001890,3,1202.5,48
1-1002929,3,2080.3,48
240009082,3,1564,47
1-1002865,3,2390.8,47
1-1003759,3,861.36,47
1-1005416,3,2486.4,47
1-1006079,3,1056.8,47
240007911,3,1265.6,46
1-1000228,3,1324,46
1-1001030,3,916.8,46
1-1002351,3,1338,46
1-1004082,3,2835.68,46
1-1005811,3,764.6,46
2-1002146,3,1900.8,46
2-1002600,3,790,46
1-1001545,3,742.34,45
1015548,3,2412,44
1-1001529,3,564.8,44
1-1001571,3,657.4,44
1-1005179,3,916,44
1015795,3,1084,43
240008404,3,1584,43
1-1000504,3,1172.8,43
1-1002292,3,1814,43
1-1002336,3,1429.2,43
1-1003845,3,1170.8,43
1-1005882,3,1724.2,43
1017354,3,1979.7,42
240007091,3,1144,42
1-1004448,3,2211.6,42
1-1005504,3,1063.6,42
1-1001460,3,1615,41
1016186,3,991,40
1-1000871,3,888,40
1-1003415,3,950,40
1-1003631,3,1020,40
